street_name,latitude,longitude
ADMIRALTY DR,1.450514045,103.8168969
ADMIRALTY LINK,1.45537418,103.8171552
AH HOOD RD,1.327883766,103.8469722
ALEXANDRA RD,1.288621365,103.8050393
ALJUNIED AVE 2,1.321044311,103.8873884
ALJUNIED CRES,1.320446415,103.8860573
ALJUNIED RD,1.322463989,103.8818453
ANCHORVALE CRES,1.398741078,103.8907471
ANCHORVALE DR,1.390671753,103.8895279
ANCHORVALE LANE,1.39204913,103.8842804
ANCHORVALE LINK,1.39217635,103.8901146
ANCHORVALE RD,1.393375779,103.8872115
ANCHORVALE ST,1.397311153,103.8890714
ANG MO KIO AVE 1,1.363656354,103.8473664
ANG MO KIO AVE 2,1.372816154,103.8331159
ANG MO KIO AVE 3,1.369071254,103.8572332
ANG MO KIO AVE 4,1.376429453,103.8393299
ANG MO KIO AVE 5,1.375952053,103.8555874
ANG MO KIO AVE 6,1.376621253,103.845036
ANG MO KIO AVE 8,1.370831854,103.848661
ANG MO KIO AVE 9,1.380207053,103.8476332
ANG MO KIO AVE 10,1.366825054,103.8565164
ANG MO KIO ST 11,1.371010454,103.8358769
ANG MO KIO ST 21,1.368885454,103.8348176
ANG MO KIO ST 31,1.365967254,103.8479606
ANG MO KIO ST 32,1.364631854,103.8502262
ANG MO KIO ST 44,1.366423154,103.8574669
ANG MO KIO ST 51,1.371092554,103.8541336
ANG MO KIO ST 52,1.372628454,103.8532727
ANG MO KIO ST 61,1.381043353,103.8411425
BAIN ST,1.297171556,103.8539278
BALAM RD,1.329995055,103.8865912
BANGKIT RD,1.377753253,103.7741205
BEACH RD,1.299572356,103.8592443
BEDOK CTRL,1.325821555,103.9335653
BEDOK NTH AVE 1,1.328440055,103.9266953
BEDOK NTH AVE 2,1.330677455,103.9305713
BEDOK NTH AVE 3,1.331325255,103.9342452
BEDOK NTH AVE 4,1.335025555,103.9435266
BEDOK NTH RD,1.330744955,103.9304803
BEDOK NTH ST 1,1.327311255,103.9307817
BEDOK NTH ST 2,1.328699455,103.9371756
BEDOK NTH ST 3,1.333648355,103.9287977
BEDOK NTH ST 4,1.332187655,103.9397053
BEDOK RESERVOIR CRES,1.336395655,103.9204385
BEDOK RESERVOIR RD,1.337104655,103.9215157
BEDOK RESERVOIR VIEW,1.336890755,103.9366848
BEDOK STH AVE 1,1.317789917,103.9330137
BEDOK STH AVE 2,1.322322855,103.9373824
BEDOK STH AVE 3,1.320753155,103.9455786
BEDOK STH RD,1.320424055,103.9378087
BENDEMEER RD,1.320778455,103.8652585
BEO CRES,1.289225556,103.8270103
BISHAN ST 11,1.346544154,103.8522442
BISHAN ST 12,1.346421854,103.8507958
BISHAN ST 13,1.349415854,103.8539464
BISHAN ST 22,1.357430454,103.845216
BISHAN ST 23,1.357125154,103.8464909
BISHAN ST 24,1.356650554,103.8443758
BOON KENG RD,1.315435555,103.8644702
BOON LAY AVE,1.347079554,103.7103393
BOON LAY DR,1.343925654,103.7128358
BOON LAY PL,1.346906054,103.712817
BOON TIONG RD,1.286546856,103.8319782
BRIGHT HILL DR,1.357555654,103.8319203
BT BATOK CTRL,1.350363654,103.7497401
BT BATOK EAST AVE 3,1.344445854,103.7582355
BT BATOK EAST AVE 4,1.349538054,103.7585038
BT BATOK EAST AVE 5,1.353326054,103.7548806
BT BATOK ST 11,1.349882354,103.7433022
BT BATOK ST 21,1.346599154,103.7533331
BT BATOK ST 22,1.344237754,103.7496784
BT BATOK ST 24,1.342727554,103.7566181
BT BATOK ST 25,1.343719954,103.7608999
BT BATOK ST 31,1.358980554,103.7510853
BT BATOK ST 32,1.362391454,103.7483492
BT BATOK ST 33,1.362006054,103.7475942
BT BATOK ST 34,1.363829554,103.7499606
BT BATOK ST 51,1.355769854,103.750597
BT BATOK ST 52,1.356272954,103.7534036
BT BATOK WEST AVE 2,1.357889154,103.7471968
BT BATOK WEST AVE 4,1.362791154,103.7469678
BT BATOK WEST AVE 5,1.358781354,103.7422474
BT BATOK WEST AVE 6,1.353527454,103.7429062
BT BATOK WEST AVE 7,1.365333454,103.7487577
BT BATOK WEST AVE 8,1.355479554,103.7396698
BT MERAH CTRL,1.283736156,103.8161607
BT MERAH LANE 1,1.285711156,103.803895
BT MERAH VIEW,1.284229156,103.8215564
BT PANJANG RING RD,1.386489853,103.7644751
BT PURMEI RD,1.272816056,103.8255237
BUANGKOK CRES,1.383897253,103.8805924
BUANGKOK GREEN,1.379398553,103.8826667
BUANGKOK LINK,1.383016553,103.8822689
BUANGKOK STH FARMWAY 1,1.384554253,103.9360543
BUFFALO RD,1.306807055,103.8506869
C'WEALTH AVE,1.300949151,103.7998921
C'WEALTH AVE WEST,1.312595129,103.7747082
C'WEALTH CL,1.304569811,103.7993375
C'WEALTH CRES,1.307672652,103.7996873
C'WEALTH DR,1.300057551,103.7972822
CAMBRIDGE RD,1.315032955,103.8485183
CANBERRA CRES,1.446835251,103.8298699
CANBERRA LINK,1.446958251,103.8274514
CANBERRA RD,1.451637551,103.8205421
CANBERRA ST,1.448302151,103.8323386
CANBERRA WALK,1.447511251,103.8298681
CANTONMENT CL,1.275115956,103.8402088
CANTONMENT RD,1.276004056,103.8408968
CASHEW RD,1.371915854,103.7677388
CASSIA CRES,1.309884455,103.8841974
CHAI CHEE AVE,1.325097655,103.9246046
CHAI CHEE DR,1.324098655,103.9191179
CHAI CHEE RD,1.325375355,103.9231831
CHAI CHEE ST,1.328479355,103.9226416
CHANDER RD,1.308769355,103.8517521
CHANGI VILLAGE RD,1.384667853,103.9873694
CHIN SWEE RD,1.286108956,103.8385466
CHOA CHU KANG AVE 1,1.376771853,103.7449709
CHOA CHU KANG AVE 2,1.378423153,103.7427241
CHOA CHU KANG AVE 3,1.380820253,103.7423568
CHOA CHU KANG AVE 4,1.382840753,103.7415622
CHOA CHU KANG AVE 5,1.375660853,103.7393053
CHOA CHU KANG AVE 7,1.375011553,103.7466283
CHOA CHU KANG CRES,1.403316053,103.7483428
CHOA CHU KANG CTRL,1.381161353,103.7467265
CHOA CHU KANG DR,1.394093553,103.7462629
CHOA CHU KANG LOOP,1.384648453,103.7454143
CHOA CHU KANG NTH 5,1.391969153,103.7467427
CHOA CHU KANG NTH 6,1.396395553,103.7474583
CHOA CHU KANG NTH 7,1.400789953,103.7472092
CHOA CHU KANG ST 51,1.391389853,103.7429994
CHOA CHU KANG ST 52,1.394935653,103.7439298
CHOA CHU KANG ST 53,1.391346653,103.7472538
CHOA CHU KANG ST 54,1.394814753,103.7490055
CHOA CHU KANG ST 62,1.398914353,103.7466268
CHOA CHU KANG ST 64,1.397640353,103.7500388
CIRCUIT RD,1.326456155,103.8882877
CLARENCE LANE,1.292377056,103.813994
CLEMENTI AVE 1,1.310347955,103.768477
CLEMENTI AVE 2,1.311549055,103.7675379
CLEMENTI AVE 3,1.313861355,103.7634637
CLEMENTI AVE 4,1.318618955,103.7660563
CLEMENTI AVE 5,1.317332355,103.7680053
CLEMENTI AVE 6,1.323223655,103.7641576
CLEMENTI ST 11,1.322238055,103.77048
CLEMENTI ST 12,1.322586755,103.7698694
CLEMENTI ST 13,1.323657555,103.7711044
CLEMENTI ST 14,1.323173955,103.7687552
CLEMENTI WEST ST 1,1.304786455,103.7666472
CLEMENTI WEST ST 2,1.303273105,103.7638754
COMPASSVALE BOW,1.381571553,103.8936317
COMPASSVALE CRES,1.397307253,103.8981732
COMPASSVALE DR,1.387952653,103.8969022
COMPASSVALE LANE,1.385789653,103.8983169
COMPASSVALE LINK,1.383651653,103.8951581
COMPASSVALE RD,1.390393453,103.8974436
COMPASSVALE ST,1.395214253,103.8980296
COMPASSVALE WALK,1.389568753,103.8985387
CORPORATION DR,1.333065555,103.723142
CRAWFORD LANE,1.305120555,103.8624349
DAKOTA CRES,1.306599955,103.8859436
DAWSON RD,1.294829956,103.8105793
DELTA AVE,1.292105656,103.827345
DEPOT RD,1.281640556,103.8097983
DORSET RD,1.313465855,103.850291
DOVER CL EAST,1.303853055,103.7861956
DOVER CRES,1.305743955,103.7826985
DOVER RD,1.303870755,103.7794023
EAST COAST RD,1.309310555,103.9136387
EDGEDALE PLAINS,1.398489753,103.9131987
EDGEFIELD PLAINS,1.400650053,103.90884
ELIAS RD,1.377732253,103.9413887
EMPRESS RD,1.317343155,103.8062472
EUNOS CRES,1.321573855,103.9037035
EUNOS RD 5,1.320497055,103.8961284
EVERTON PK,1.276918856,103.8392538
FAJAR RD,1.384180053,103.7701377
FARRER PK RD,1.311946255,103.8514095
FARRER RD,1.317906955,103.8081067
FERNVALE LANE,1.389525553,103.8708101
FERNVALE LINK,1.394110253,103.8790169
FERNVALE RD,1.393675653,103.8760978
FERNVALE ST,1.398328253,103.8802468
FRENCH RD,1.307888655,103.8611072
GANGSA RD,1.377906353,103.7662784
GEYLANG BAHRU,1.321501685,103.871002
GEYLANG EAST AVE 1,1.317239255,103.885331
GEYLANG EAST AVE 2,1.317756655,103.8887436
GEYLANG EAST CTRL,1.319062855,103.8868371
GEYLANG SERAI,1.31743724,103.8974061
GHIM MOH LINK,1.309906955,103.7851803
GHIM MOH RD,1.311802155,103.7874132
GLOUCESTER RD,1.312986955,103.8520179
HAIG RD,1.309532555,103.8977057
HAVELOCK RD,1.289067856,103.8359423
HENDERSON CRES,1.288891956,103.8216885
HENDERSON RD,1.280474856,103.8175732
HILLVIEW AVE,1.359610654,103.7638284
HO CHING RD,1.334467755,103.7240562
HOLLAND AVE,1.309149455,103.7950531
HOLLAND CL,1.307571155,103.795767
HOLLAND DR,1.309943155,103.7928713
HOUGANG AVE 1,1.354482754,103.8897918
HOUGANG AVE 2,1.368235754,103.8848198
HOUGANG AVE 3,1.352831554,103.8908384
HOUGANG AVE 4,1.371431154,103.8879603
HOUGANG AVE 5,1.367402754,103.8963101
HOUGANG AVE 6,1.376552253,103.8928283
HOUGANG AVE 7,1.367451554,103.8991773
HOUGANG AVE 8,1.374762653,103.8882194
HOUGANG AVE 9,1.375076053,103.8810311
HOUGANG AVE 10,1.373131654,103.8918074
HOUGANG CTRL,1.371358028,103.8920607
HOUGANG ST 11,1.351997854,103.8801606
HOUGANG ST 21,1.358161554,103.8859898
HOUGANG ST 22,1.355724054,103.8909584
HOUGANG ST 31,1.362834354,103.8895239
HOUGANG ST 32,1.363346254,103.8941104
HOUGANG ST 51,1.380251553,103.8878393
HOUGANG ST 52,1.376815853,103.8893684
HOUGANG ST 61,1.374766253,103.8863462
HOUGANG ST 91,1.377167253,103.8821065
HOUGANG ST 92,1.373272254,103.8796535
HOY FATT RD,1.288183056,103.8118547
HU CHING RD,1.329132355,103.7233007
INDUS RD,1.291507456,103.8277349
JELAPANG RD,1.385961953,103.7672567
JELEBU RD,1.379514053,103.7640329
JELLICOE RD,1.308033055,103.8622746
JLN BAHAGIA,1.327232355,103.8580368
JLN BATU,1.303003455,103.8833427
JLN BERSEH,1.307477855,103.8572813
JLN BT HO SWEE,1.287450956,103.8296666
JLN BT MERAH,1.283634456,103.8193515
JLN DAMAI,1.333552255,103.9094073
JLN DUA,1.309091055,103.8875788
JLN DUSUN,1.327799855,103.8438616
JLN KAYU,1.396580453,103.8730482
JLN KLINIK,1.287691756,103.8287751
JLN KUKOH,1.287996256,103.8397185
JLN MA'MOR,1.328269855,103.8572312
JLN MEMBINA,1.283554156,103.8266498
JLN MEMBINA BARAT,1.283554154,103.8266391
JLN PASAR BARU,1.3168326,103.8979304
JLN RAJAH,1.328016455,103.8512963
JLN RUMAH TINGGI,1.287921656,103.8094195
JLN TECK WHYE,1.380064153,103.7576171
JLN TENAGA,1.332537155,103.9065645
JLN TENTERAM,1.327123455,103.8593916
JLN TIGA,1.308112855,103.8843993
JOO CHIAT RD,1.305618255,103.9052094
JOO SENG RD,1.336404955,103.8819185
JURONG EAST AVE 1,1.344192054,103.7346764
JURONG EAST ST 13,1.337097755,103.7372622
JURONG EAST ST 21,1.337032255,103.7433307
JURONG EAST ST 24,1.343508654,103.7401534
JURONG EAST ST 31,1.346959854,103.730472
JURONG EAST ST 32,1.347085754,103.7338242
JURONG WEST AVE 1,1.351139154,103.7212551
JURONG WEST AVE 3,1.351954354,103.7046356
JURONG WEST AVE 5,1.346632454,103.6968817
JURONG WEST CTRL 1,1.342668354,103.7054112
JURONG WEST CTRL 3,1.340642854,103.7062269
JURONG WEST ST 24,1.350223554,103.7068389
JURONG WEST ST 25,1.354074354,103.7038247
JURONG WEST ST 41,1.348362154,103.7231882
JURONG WEST ST 42,1.353203454,103.7216137
JURONG WEST ST 51,1.347875154,103.7205057
JURONG WEST ST 52,1.348237554,103.7177313
JURONG WEST ST 61,1.338653654,103.6984642
JURONG WEST ST 62,1.340532054,103.7009188
JURONG WEST ST 64,1.341095354,103.7039051
JURONG WEST ST 65,1.339856354,103.7010228
JURONG WEST ST 71,1.342787354,103.6954101
JURONG WEST ST 72,1.346083354,103.6989986
JURONG WEST ST 73,1.347129754,103.6997776
JURONG WEST ST 74,1.349448654,103.6992342
JURONG WEST ST 75,1.348127854,103.6998579
JURONG WEST ST 81,1.347203054,103.6950702
JURONG WEST ST 91,1.341873454,103.6898227
JURONG WEST ST 92,1.341340554,103.6901671
JURONG WEST ST 93,1.338195054,103.6930361
KALLANG BAHRU,1.318041055,103.8665713
KANG CHING RD,1.339144154,103.7219114
KEAT HONG CL,1.374529553,103.74254
KEAT HONG LINK,1.375755653,103.7487766
KELANTAN RD,1.305788055,103.8565982
KENT RD,1.316324755,103.852089
KG ARANG RD,1.300201255,103.882173
KG BAHRU HILL,1.273084556,103.8288165
KG KAYU RD,1.302711355,103.8824909
KIM CHENG ST,1.284644656,103.8318932
KIM KEAT AVE,1.332548755,103.8576698
KIM KEAT LINK,1.331101455,103.8548697
KIM PONG RD,1.284987256,103.8301018
KIM TIAN PL,1.283360856,103.828643
KIM TIAN RD,1.282527256,103.8277261
KING GEORGE'S AVE,1.308960655,103.860622
KLANG LANE,1.308406955,103.852178
KRETA AYER RD,1.281145056,103.8421203
LENGKOK BAHRU,1.286998156,103.8137095
LENGKONG TIGA,1.324446455,103.9114378
LIM CHU KANG RD,1.409717152,103.7008789
LIM LIAK ST,1.285339056,103.8314798
LOMPANG RD,1.379944053,103.7654881
